date,id,label,alpha,text
2014-01-02,0,0,a, Summary of Yesterday's Webcast Featuring $AAPL $WYNN $GOOG $LGF #TraderEducation #Options #HedgingStrategies
2014-01-02,1,0,a, Summary of Yesterday's Webcast Featuring $AAPL $WYNN $GOOG $LGF #TraderEducation #Options #HedgingStrategies
2014-01-02,2,0,a,iTV Will Boost Apple  $AAPL #APPLE
2014-01-02,3,0,a,"#iPhone users are more intelligent than #Samsung, #BlackBerry and HTC owners, $AAPL $BBRY, "
2014-01-02,4,0,a, Summary of Yesterday's Webcast Featuring $AAPL $WYNN $GOOG $LGF #TraderEducation #Options #HedgingStrategies
2014-01-02,5,0,a,2013 Wrap-Up And Trading Set Review - Part III  $AAPL #APPLE $BP $CNW $CSCO $CSX $CVX $GOOG $HPQ $IBM $INTC $NGG
2014-01-02,6,0,a,Apple Screwed Up Big Time  $AMZN $AAPL
2014-01-02,7,0,a, Summary of Yesterday's Webcast Featuring $AAPL $WYNN $GOOG $LGF #TraderEducation #Options #HedgingStrategies
2014-01-02,8,0,a,$AAPL - Wall St. kicks off New Year on lower note -&gt;  #stock #stocks #stockaction
2014-01-02,9,0,a, Here's how Apple could be making a huge push into healthcare &gt;  $AAPL
2014-01-02,10,0,a," Our Top 3 Trade Ideas for 2014 and Two $1,000 Futures Wins Already in the Bank $GLD $USO $AAPL  "
2014-01-02,11,0,a,"@DrPaulyDeSantis 

$AAPL having breathing difficulties"
2014-01-02,12,0,a,Emylers: Cheeky's Board!: $AAPL Up to date company activities and other impo 
2014-01-02,13,0,a,$AAPL BlackBerry and singer Alicia Keys to part ways 
2014-01-02,14,0,a,$AAPL - Chinas Xiaomi says to more than double smartphone sales in 2014 -&gt;  #stock #stocks #stockaction
2014-01-02,15,0,a," Our Top 3 Trade Ideas for 2014 and Two $1,000 Futures Wins Already in the Bank $GLD $USO $AAPL  "
2014-01-02,16,0,a," Our Top 3 Trade Ideas for 2014 and Two $1,000 Futures Wins Already in the Bank $GLD $USO $AAPL  "
2014-01-02,17,0,a,What are your top picks for Q1 2014? Here are mine: $AAPL $CREE $FB $CLDX $SNE
2014-01-02,18,0,a," Our Top 3 Trade Ideas for 2014 and Two $1,000 Futures Wins Already in the Bank $GLD $USO $AAPL  "
2014-01-02,19,0,a,$AAPL US STOCKS-Wall St kicks off New Year on lower note 
2014-01-02,20,0,a, Apple gained 8% in 2013 vs S&amp;P's 30% but don't cry for $AAPL investors. At least not the long term ones. …
2014-01-02,21,0,a," Our Top 3 Trade Ideas for 2014 and Two $1,000 Futures Wins Already in the Bank $GLD $USO $AAPL  "
2014-01-02,22,0,a," Our Top 3 Trade Ideas for 2014 and Two $1,000 Futures Wins Already in the Bank $GLD $USO $AAPL  "
2014-01-02,23,0,a,$AAPL - Apple Will Be The Main Victim Of Microsoft And Google Cutthroat Smartp... -&gt;  #stock #stocks #stockaction
2014-01-02,24,0,a,"New Education: Supply/Demand Zones, Accumulation/Distribution, &amp; Price Patterns  $SPY $QQQ $IWM $AAPL $TWTR $STUDY"
2014-01-02,25,0,a,"I bought a new TV this year. Would probably have been a $AAPL TV if they made one, competition didn't seem to be very strong."
2014-01-02,26,0,a,"$AAPL [video] Apple Denies Working With NSA, and More "
2014-01-02,27,0,a,$AAPL Cleaning the Mobile Germ Warehouse 
2014-01-02,28,0,a,$AAPL Kara Swisher and Walt Mossberg launch Re/code 
2014-01-02,29,0,a,$AAPL Let's not let the WF downgrade overshadow Cantor's 2014 top large cap pick with a $777 price target.
2014-01-02,30,0,a,"Will 2014 be Apple's ""year of innovation"" () or year of gross-margin pressure ()? $AAPL"
2014-01-02,31,0,a,$AAPL - Pre-Market: Apple Downgraded on Margin Concerns; Stocks to Start 2014 ... -&gt;  #stock #stocks #stockaction
2014-01-02,32,0,a,Big Tuna's Stocks - $AAPL Daily Chart ~ Range is Getting 
2014-01-02,33,0,a," Our Top 3 Trade Ideas for 2014 and Two $1,000 Futures Wins Already in the Bank $GLD $USO $AAPL  "
2014-01-02,34,0,a,"$AAPL The Zacks Analyst Blog Highlights: Apple, Nokia, , Microsoft and SolarWinds "
2014-01-02,35,0,a," Apple slips, Urban Outfitters up on analyst call  $AAPL"
2014-01-02,36,0,a," Our Top 3 Trade Ideas for 2014 and Two $1,000 Futures Wins Already in the Bank $GLD $USO $AAPL  "
2014-01-02,37,0,a," Our Top 3 Trade Ideas for 2014 and Two $1,000 Futures Wins Already in the Bank $GLD $USO $AAPL  "
2014-01-02,38,0,a,$AAPL How Is Tim Cook Doing Taking Over From The Legendary Steve Jobs? 
2014-01-02,39,0,a,This weeks $AAPL 550 puts are already up a dollar today.
2014-01-02,40,0,a,"Thursday headlines include news on $CPB, $NYT, $AAPL, $WMT and $NFLX "
2014-01-03,41,1,a," Our Top 3 Trade Ideas for 2014 and Two $1,000 Futures Wins Already in the Bank $GLD $USO $AAPL  "
2014-01-03,42,1,a,"The Five-Year-Old iPad: When Will People Stop Upgrading?
$AAPL ​​​#aapl  "
2014-01-03,43,1,a,"$AAPL was below this level two weeks ago, and then jumped to 570 the following week (CHL news). Earnings run up will be next catalyst."
2014-01-03,44,1,a,$AAPL Apple Sale: Best Buy Temporarily Cuts iPhone 5S Price 
2014-01-03,45,1,a, Also added $AAPL common here w 541 stop
2014-01-03,46,1,a, Android Phones Are Basically Used As Dumbphones $AAPL $GOOG by @Jim_Edwards 
2014-01-03,47,1,a,$BBRY $AAPL BlackBerry files suit against Typo: Full Story 
2014-01-03,48,1,a, hmm not so much for $AAPL .. we got this double top threat goin on here..
2014-01-03,49,1,a, @Trimmer3098 What I like about $AAPL long term is its ~9.5 PE ex-cash gives it a floor on valuation. Only hi quality s…
2014-01-03,50,1,a,$AAPL is soooo pathetic. One has to wonder if iCahn is selling. 544 must hold.
2014-01-03,51,1,a, 50% of trades in $AAPL today are for less than 100 shares #oddlots
2014-01-03,52,1,a,the good support for $AAPL today is 541.02 
2014-01-03,53,1,a," Our Top 3 Trade Ideas for 2014 and Two $1,000 Futures Wins Already in the Bank $GLD $USO $AAPL  "
2014-01-03,54,1,a,"Bloggers trading $AAPL stupid again
#NSA ‘malicious hackers’ &amp; then?
Before it becomes farce
Maybe next try to parse
What ‘any’ means &amp; when"
2014-01-03,55,1,a," Our Top 3 Trade Ideas for 2014 and Two $1,000 Futures Wins Already in the Bank $GLD $USO $AAPL  "
2014-01-03,56,1,a,$AAPL new lows.. still holding half lotto 542.50 puts
2014-01-03,57,1,a," Our Top 3 Trade Ideas for 2014 and Two $1,000 Futures Wins Already in the Bank $GLD $USO $AAPL  "
2014-01-03,58,1,a,Best position Today:  $GLD  (non-core long)   Worst - $AAPL (core-long)   #FVAM  #stockaction
2014-01-03,59,1,a,Overall market VIX is down .35% where as $AAPL IV is up 3.72%. If this is not a pre-event shake-down then there is no more trading for me...
2014-01-03,60,1,a,$AAPL BlackBerry sues Ryan Seacrest's company over iPhone keyboard 
2014-01-03,61,1,a,$AAPL - Online Retail Sales Up in Q4 -&gt;  #stock #stocks #stockaction
2014-01-06,62,0,a,$AAPL - Boeing contract with machinists - details of agreement -&gt;  #stock #stocks #stockaction
2014-01-06,63,0,a,ClayTrader: * * $AAPL Video Chart 1/3/14 * *: ClayTrader 
2014-01-06,64,0,a," January 3, 1977 – Steve Jobs and Steve Wozniak incorporated Apple Computer Company. $AAPL"
2014-01-06,65,0,a,Apple iWatch reportedly already in production  #IBDBlogs via @IBDinvestors  $AAPL $QCOM $SNE $NKE
2014-01-06,66,0,a,"Apple Stock Forecast: Playing $AAPL - S&amp;P 500 Spread As “Market Neutral” Strategy. |  
$SPY"""""""""""
2014-01-06,67,0,a,$AAPL Machinists vote helps Boeing avoid hiring crunch 
2014-01-06,68,0,a,"@jimcramer jim,the ""great""@Peter Ghostine has predicted $425 for $AAPL what says u ?.TARGET = $425 "
2014-01-06,69,0,a,$AAPL ... Forecasting Apple Using Evidence-Driven Technical Analysis (Subscribers Only). TARGET = $425 
2014-01-06,70,0,a, Here are the 100 most popular and most trending stocks of the last year  $SPY $FB $AAPL
2014-01-06,71,0,a,In it  to win it: $MU puts working.. $AAPL long working.. $SAN sitting: In it  to win it 
2014-01-06,72,0,a,$AAPL Intel Has A Shot At Winning Apple 
2014-01-06,73,0,a,Wall Street vs AAPL in nine bar-charts  $AAPL
2014-01-06,74,0,a, Apple vs. Amazon vs. Google  $AMZN $GOOG Only market sentiment killing $AAPL #CEO
2014-01-06,75,0,a,$AAPL r/g &amp; V. important reversal on daily here. This is a big technical defense
2014-01-06,76,0,a,"No Steve Jobs but could argue Steve Jobs is not who you want to lead company at this stage. To early to know? @dasan ""ineffective CEO"" $AAPL"
2014-01-06,77,0,a,$AAPL resistance is strong at 545.5
2014-01-06,78,0,a,Updated Report for $AAPL     
2014-01-06,79,0,a,Focus list $SCTY $MNKD $P $ARIA $MGM $FSLR $MU $AAPL $JASO $FB $CELG $SOL $GRPN $CAMT $ABT
2014-01-06,80,0,a,"""@T3Live:  Downgraded $AAPL Looks for New Footing $FXI $SPX $BAC $C $TWTR $FB @RedDogT3Live @BrittanyUmar"""
2014-01-06,81,0,a,$AAPL Apple’s Products May Get Curved Displays From Corning 
2014-01-06,82,0,a,Let's see how strong this $AAPL move is. It can get as high as $550 in the next couple days.
2014-01-06,83,0,a, January Effect On Markets Appears Delayed $AA $AAPL $BAC  
2014-01-06,84,0,a,$AAPL - Nice momentum. Some short covering will happen that can push it up
2014-01-06,85,0,a, Posted this $AAPL chart over the weekend - Nearing important technical support confluence …
2014-01-06,86,0,a,did $AAPL find a bottom premarket? heard lots of sub 500 chatter last week... both sides have a good argument for now
2014-01-06,87,0,a,"$AAPL [video] Asian Stocks Down, Liberty Poised to Acquire Sirius XM "
2014-01-06,88,0,a,SPX CIT Dates: $AAPL Breaking Key Support Levels 
2014-01-06,89,0,a,"Dirty Secrets Apple Doesn’t Want You To Know.


$AAPL $FB $TWTR $TSMA #Finance #apple"
2014-01-06,90,0,a,"$AAPL QUALCOMM, Inc. : Industry Analyst Jeff Kagan on Apple iWatch Smartwatch ... "
2014-01-06,91,0,a, Standpoint Research Downgrades Apple $AAPL to Sell for Moral Reasons 
2014-01-06,92,0,a,$AAPL How Quickly Will Windows and Office Die? 
2014-01-06,93,0,a,"$AAPL filled overnight gap, now attempting to shift closing level to support "
2014-01-07,94,1,a,$AAPL I love my iPad b/c no virus and I am protected by Apple. Android is open source and full of virus etc. I don't want it in my car...
2014-01-07,95,1,a, Why 2014 could be the most interesting year in technology in a long time  $AAPL
2014-01-07,96,1,a,$AAPL [video] How Much Does the App Store Mean to Apple? 
2014-01-07,97,1,a,$AAPL Samsung to report profit decline as phone sales lag 
2014-01-07,98,1,a,$FSLR $AAPL $MU $C $MA $YOKU $SD $MRK $V Active equity options trading on open: Full Story 
2014-01-07,99,1,a,$AAPL seeing potential to hold a higher low above yest's LOD &amp; if so 550/51 is 1st key trgt; +551 = grind in2 earnings; -540 = 536 then 529
2014-01-07,100,1,a,$AAPL lows of the day.   
2014-01-07,101,1,a,  $AAPL
2014-01-07,102,1,a,“@CNBC: Apple reports $10 billion worth of apps sold in 2013:  $AAPL” #crazy
2014-01-07,103,1,a,$AAPL - 8:34 am Apple announces App store sales topped $10 billion in 2013 -&gt;  #stock #stocks #stockaction
2014-01-07,104,1,a,"Apple $AAPL Is Rich, Fat, &amp; Happy "
2014-01-07,105,1,a,$SSNLF estimates greater-than-expected decline in profits &amp; sales amid stiff competition  $AAPL
2014-01-07,106,1,a,You know you want it...don't be a hater :P #iPhone7 #YouSawItHereFirst $AAPL 
2014-01-07,107,1,a, Samsung lowers guidance on same day Micael Bay walks off stage at #CES promotional event  Need to copy $AAPL choreography
2014-01-07,108,1,a, Build A Mini Long-Short Portfolio With These 6 High-Priced Shares  $AAMC $AAPL $AMZN $BRK.A $TPRP $…
2014-01-07,109,1,a,"If you wanna sell in China, better use Chinese channels. $AAPL opens store on Alibaba's Tmall "
2014-01-07,110,1,a," US smpartphone penetration 68.3% up 3%, $AAPL 41.2% (up 0.5% from August). Samsung 26% share (up 1.7% points) end Nov …"
2014-01-07,111,1,a,Wait for it..........$AAPL
2014-01-07,112,1,a,$AAPL - Interesting April Stock Options For AAPL -&gt;  #stock #stocks #stockaction
2014-01-07,113,1,a,Apple $AAPL says App Store sales top USD 10bln in 2013 #stocks
2014-01-07,114,1,a,"Link bait ""@Forbes: Is Apple worth $12,000 a share?  $AAPL"""
2014-01-07,115,1,a,  $AAPL
2014-01-07,116,1,a, Sales at Apple's App Store topped $10 billion in 2013. Nearly 3 billion apps downloaded in December.  $AAPL
